-- Auto-generated cross-department course offering --

INSERT INTO Course (course_id, title, credit_hours, semester, offered_by, department_id, pre_requisite, still_offered) VALUES ('CSE783', 'Introduction to Programming', 4, 'L1T1', 1, 8, NULL, TRUE);
INSERT INTO Course (course_id, title, credit_hours, semester, offered_by, department_id, pre_requisite, still_offered) VALUES ('CSE685', 'Algorithms', 4, 'L1T2', 1, 3, NULL, TRUE);
INSERT INTO Course (course_id, title, credit_hours, semester, offered_by, department_id, pre_requisite, still_offered) VALUES ('CSE738', 'Discrete Math Lab', 1.5, 'L2T1', 1, 5, NULL, TRUE);
INSERT INTO Course (course_id, title, credit_hours, semester, offered_by, department_id, pre_requisite, still_offered) VALUES ('CSE630', 'Data Structures Lab', 1.5, 'L2T2', 1, 9, NULL, TRUE);
INSERT INTO Course (course_id, title, credit_hours, semester, offered_by, department_id, pre_requisite, still_offered) VALUES ('CSE898', 'Programming Lab', 1.5, 'L3T1', 1, 11, NULL, TRUE);
INSERT INTO Course (course_id, title, credit_hours, semester, offered_by, department_id, pre_requisite, still_offered) VALUES ('CSE508', 'Algorithms Lab', 1.5, 'L3T2', 1, 7, NULL, TRUE);
INSERT INTO Course (course_id, title, credit_hours, semester, offered_by, department_id, pre_requisite, still_offered) VALUES ('CSE821', 'Discrete Mathematics', 3, 'L4T1', 1, 6, NULL, TRUE);
INSERT INTO Course (course_id, title, credit_hours, semester, offered_by, department_id, pre_requisite, still_offered) VALUES ('CSE597', 'Data Structures', 4, 'L4T2', 1, 7, NULL, TRUE);
INSERT INTO Course (course_id, title, credit_hours, semester, offered_by, department_id, pre_requisite, still_offered) VALUES ('EEE792', 'Signals Lab', 1.5, 'L1T1', 2, 12, NULL, TRUE);
INSERT INTO Course (course_id, title, credit_hours, semester, offered_by, department_id, pre_requisite, still_offered) VALUES ('EEE861', 'Basic Circuits', 3, 'L1T2', 2, 5, NULL, TRUE);
INSERT INTO Course (course_id, title, credit_hours, semester, offered_by, department_id, pre_requisite, still_offered) VALUES ('EEE529', 'Signals and Systems', 3, 'L2T1', 2, 4, NULL, TRUE);
INSERT INTO Course (course_id, title, credit_hours, semester, offered_by, department_id, pre_requisite, still_offered) VALUES ('EEE923', 'Power Systems', 3, 'L2T2', 2, 4, NULL, TRUE);
INSERT INTO Course (course_id, title, credit_hours, semester, offered_by, department_id, pre_requisite, still_offered) VALUES ('EEE805', 'Electronics I', 3, 'L3T1', 2, 10, NULL, TRUE);
INSERT INTO Course (course_id, title, credit_hours, semester, offered_by, department_id, pre_requisite, still_offered) VALUES ('EEE798', 'Circuits Lab', 1.5, 'L3T2', 2, 1, NULL, TRUE);
INSERT INTO Course (course_id, title, credit_hours, semester, offered_by, department_id, pre_requisite, still_offered) VALUES ('EEE804', 'Electronics Lab', 1.5, 'L4T1', 2, 1, NULL, TRUE);
INSERT INTO Course (course_id, title, credit_hours, semester, offered_by, department_id, pre_requisite, still_offered) VALUES ('EEE558', 'Power Lab', 1.5, 'L4T2', 2, 10, NULL, TRUE);
INSERT INTO Course (course_id, title, credit_hours, semester, offered_by, department_id, pre_requisite, still_offered) VALUES ('MATH680', 'Probability Lab', 1.5, 'L1T1', 5, 7, NULL, TRUE);
INSERT INTO Course (course_id, title, credit_hours, semester, offered_by, department_id, pre_requisite, still_offered) VALUES ('MATH666', 'Statistics Lab', 1.5, 'L1T2', 5, 4, NULL, TRUE);
INSERT INTO Course (course_id, title, credit_hours, semester, offered_by, department_id, pre_requisite, still_offered) VALUES ('MATH521', 'Probability Theory', 4, 'L2T1', 5, 10, NULL, TRUE);
INSERT INTO Course (course_id, title, credit_hours, semester, offered_by, department_id, pre_requisite, still_offered) VALUES ('MATH697', 'Calculus I', 4, 'L2T2', 5, 1, NULL, TRUE);
INSERT INTO Course (course_id, title, credit_hours, semester, offered_by, department_id, pre_requisite, still_offered) VALUES ('MATH586', 'Calculus Lab', 1.5, 'L3T1', 5, 6, NULL, TRUE);
INSERT INTO Course (course_id, title, credit_hours, semester, offered_by, department_id, pre_requisite, still_offered) VALUES ('MATH778', 'Linear Algebra Lab', 1.5, 'L3T2', 5, 4, NULL, TRUE);
INSERT INTO Course (course_id, title, credit_hours, semester, offered_by, department_id, pre_requisite, still_offered) VALUES ('MATH801', 'Linear Algebra', 3, 'L4T1', 5, 8, NULL, TRUE);
INSERT INTO Course (course_id, title, credit_hours, semester, offered_by, department_id, pre_requisite, still_offered) VALUES ('MATH869', 'Statistics', 3, 'L4T2', 5, 6, NULL, TRUE);
INSERT INTO Course (course_id, title, credit_hours, semester, offered_by, department_id, pre_requisite, still_offered) VALUES ('PHY597', 'Electromagnetism', 4, 'L1T1', 6, 9, NULL, TRUE);
INSERT INTO Course (course_id, title, credit_hours, semester, offered_by, department_id, pre_requisite, still_offered) VALUES ('PHY584', 'Physics Lab', 1.5, 'L1T2', 6, 3, NULL, TRUE);
INSERT INTO Course (course_id, title, credit_hours, semester, offered_by, department_id, pre_requisite, still_offered) VALUES ('PHY903', 'Quantum Mechanics', 4, 'L2T1', 6, 7, NULL, TRUE);
INSERT INTO Course (course_id, title, credit_hours, semester, offered_by, department_id, pre_requisite, still_offered) VALUES ('PHY545', 'Mechanics', 3, 'L2T2', 6, 8, NULL, TRUE);
INSERT INTO Course (course_id, title, credit_hours, semester, offered_by, department_id, pre_requisite, still_offered) VALUES ('PHY708', 'Mechanics Lab', 1.5, 'L3T1', 6, 7, NULL, TRUE);
INSERT INTO Course (course_id, title, credit_hours, semester, offered_by, department_id, pre_requisite, still_offered) VALUES ('PHY905', 'Physics I', 4, 'L3T2', 6, 4, NULL, TRUE);
INSERT INTO Course (course_id, title, credit_hours, semester, offered_by, department_id, pre_requisite, still_offered) VALUES ('PHY526', 'Quantum Lab', 1.5, 'L4T1', 6, 10, NULL, TRUE);
INSERT INTO Course (course_id, title, credit_hours, semester, offered_by, department_id, pre_requisite, still_offered) VALUES ('PHY808', 'EM Lab', 1.5, 'L4T2', 6, 11, NULL, TRUE);
INSERT INTO Course (course_id, title, credit_hours, semester, offered_by, department_id, pre_requisite, still_offered) VALUES ('CE686', 'Concrete Lab', 1.5, 'L1T1', 10, 12, NULL, TRUE);
INSERT INTO Course (course_id, title, credit_hours, semester, offered_by, department_id, pre_requisite, still_offered) VALUES ('CE517', 'Structural Analysis', 3, 'L1T2', 10, 2, NULL, TRUE);
INSERT INTO Course (course_id, title, credit_hours, semester, offered_by, department_id, pre_requisite, still_offered) VALUES ('CE584', 'Soil Lab', 1.5, 'L2T1', 10, 4, NULL, TRUE);
INSERT INTO Course (course_id, title, credit_hours, semester, offered_by, department_id, pre_requisite, still_offered) VALUES ('CE713', 'Hydraulics', 3, 'L2T2', 10, 6, NULL, TRUE);
INSERT INTO Course (course_id, title, credit_hours, semester, offered_by, department_id, pre_requisite, still_offered) VALUES ('CE703', 'Soil Mechanics', 3, 'L3T1', 10, 12, NULL, TRUE);
INSERT INTO Course (course_id, title, credit_hours, semester, offered_by, department_id, pre_requisite, still_offered) VALUES ('CE730', 'Hydraulics Lab', 1.5, 'L3T2', 10, 4, NULL, TRUE);
INSERT INTO Course (course_id, title, credit_hours, semester, offered_by, department_id, pre_requisite, still_offered) VALUES ('CE648', 'Structural Lab', 1.5, 'L4T1', 10, 5, NULL, TRUE);
INSERT INTO Course (course_id, title, credit_hours, semester, offered_by, department_id, pre_requisite, still_offered) VALUES ('CE605', 'Concrete Technology', 3, 'L4T2', 10, 9, NULL, TRUE);
INSERT INTO Course (course_id, title, credit_hours, semester, offered_by, department_id, pre_requisite, still_offered) VALUES ('BME829', 'Human Physiology', 3, 'L1T1', 3, 1, NULL, TRUE);
INSERT INTO Course (course_id, title, credit_hours, semester, offered_by, department_id, pre_requisite, still_offered) VALUES ('BME810', 'Signals Lab', 1.5, 'L1T2', 3, 12, NULL, TRUE);
INSERT INTO Course (course_id, title, credit_hours, semester, offered_by, department_id, pre_requisite, still_offered) VALUES ('BME997', 'Biomaterials', 3, 'L2T1', 3, 4, NULL, TRUE);
INSERT INTO Course (course_id, title, credit_hours, semester, offered_by, department_id, pre_requisite, still_offered) VALUES ('BME984', 'Biomaterials Lab', 1.5, 'L2T2', 3, 12, NULL, TRUE);
INSERT INTO Course (course_id, title, credit_hours, semester, offered_by, department_id, pre_requisite, still_offered) VALUES ('BME849', 'Biomechanics', 3, 'L3T1', 3, 2, NULL, TRUE);
INSERT INTO Course (course_id, title, credit_hours, semester, offered_by, department_id, pre_requisite, still_offered) VALUES ('BME758', 'Physiology Lab', 1.5, 'L3T2', 3, 7, NULL, TRUE);
INSERT INTO Course (course_id, title, credit_hours, semester, offered_by, department_id, pre_requisite, still_offered) VALUES ('BME847', 'Biomedical Signals', 3, 'L4T1', 3, 12, NULL, TRUE);
INSERT INTO Course (course_id, title, credit_hours, semester, offered_by, department_id, pre_requisite, still_offered) VALUES ('BME624', 'Biomechanics Lab', 1.5, 'L4T2', 3, 11, NULL, TRUE);
