student_id,fee_type_id,amount,due_date,status,paid_on
2508052,FT02,2200,2025-07-10,Unpaid,
2409026,FT02,2200,2025-07-10,Unpaid,
2301036,FT02,2200,2025-07-10,Unpaid,
2407055,FT02,2200,2025-07-10,Unpaid,
2209035,FT02,2200,2025-07-10,Unpaid,
2501023,FT02,2200,2025-07-10,Unpaid,
2310058,FT02,2200,2025-07-10,Unpaid,
2211046,FT02,2200,2025-07-10,Unpaid,
2306037,FT02,2200,2025-07-10,Unpaid,
2306057,FT02,2200,2025-07-10,Unpaid,
2207036,FT02,2200,2025-07-10,Unpaid,
2507043,FT02,2200,2025-07-10,Unpaid,
2202058,FT02,2200,2025-07-10,Unpaid,
2502058,FT02,2200,2025-07-10,Unpaid,
2503053,FT02,2200,2025-07-10,Unpaid,
2504060,FT02,2200,2025-07-10,Unpaid,
2311038,FT02,2200,2025-07-10,Unpaid,
2209051,FT02,2200,2025-07-10,Unpaid,
2412031,FT02,2200,2025-07-10,Unpaid,
2403029,FT02,2200,2025-07-10,Unpaid,
2311029,FT02,2200,2025-07-10,Unpaid,
2302023,FT02,2200,2025-07-10,Unpaid,
2301058,FT02,2200,2025-07-10,Unpaid,
2509055,FT02,2200,2025-07-10,Unpaid,
2408056,FT02,2200,2025-07-10,Unpaid,
2304046,FT02,2200,2025-07-10,Unpaid,
2512031,FT02,2200,2025-07-10,Unpaid,
2304027,FT02,2200,2025-07-10,Unpaid,
2411041,FT02,2200,2025-07-10,Unpaid,
2211054,FT02,2200,2025-07-10,Unpaid,
2311045,FT02,2200,2025-07-10,Unpaid,
2304057,FT02,2200,2025-07-10,Unpaid,
2407048,FT02,2200,2025-07-10,Unpaid,
2407043,FT02,2200,2025-07-10,Unpaid,
2212025,FT02,2200,2025-07-10,Unpaid,
2202046,FT02,2200,2025-07-10,Unpaid,
2301026,FT02,2200,2025-07-10,Unpaid,
2507037,FT02,2200,2025-07-10,Unpaid,
2509054,FT02,2200,2025-07-10,Unpaid,
2509046,FT02,2200,2025-07-10,Unpaid,
2301048,FT02,2200,2025-07-10,Unpaid,
2505023,FT02,2200,2025-07-10,Unpaid,
2402034,FT02,2200,2025-07-10,Unpaid,
2303060,FT02,2200,2025-07-10,Unpaid,
2509051,FT02,2200,2025-07-10,Unpaid,
2308040,FT02,2200,2025-07-10,Unpaid,
2403034,FT02,2200,2025-07-10,Unpaid,
2502044,FT02,2200,2025-07-10,Unpaid,
2307027,FT02,2200,2025-07-10,Unpaid,
2210040,FT02,2200,2025-07-10,Unpaid,
2207045,FT02,2200,2025-07-10,Unpaid,
2203032,FT02,2200,2025-07-10,Unpaid,
2410027,FT02,2200,2025-07-10,Unpaid,
2303040,FT02,2200,2025-07-10,Unpaid,
2302037,FT02,2200,2025-07-10,Unpaid,
2410022,FT02,2200,2025-07-10,Unpaid,
2301056,FT02,2200,2025-07-10,Unpaid,
2407050,FT02,2200,2025-07-10,Unpaid,
2504054,FT02,2200,2025-07-10,Unpaid,
2209022,FT02,2200,2025-07-10,Unpaid,
2405038,FT02,2200,2025-07-10,Unpaid,
2404023,FT02,2200,2025-07-10,Unpaid,
2311052,FT02,2200,2025-07-10,Unpaid,
2407035,FT02,2200,2025-07-10,Unpaid,
2408055,FT02,2200,2025-07-10,Unpaid,
2410035,FT02,2200,2025-07-10,Unpaid,
2309058,FT02,2200,2025-07-10,Unpaid,
2203056,FT02,2200,2025-07-10,Unpaid,
2405023,FT02,2200,2025-07-10,Unpaid,
2512050,FT02,2200,2025-07-10,Unpaid,
2203054,FT02,2200,2025-07-10,Unpaid,
2404048,FT02,2200,2025-07-10,Unpaid,
2408045,FT02,2200,2025-07-10,Unpaid,
2509058,FT02,2200,2025-07-10,Unpaid,
2206026,FT02,2200,2025-07-10,Unpaid,
2502053,FT02,2200,2025-07-10,Unpaid,
2304054,FT02,2200,2025-07-10,Unpaid,
2409022,FT02,2200,2025-07-10,Unpaid,
2503037,FT02,2200,2025-07-10,Unpaid,
2312059,FT02,2200,2025-07-10,Unpaid,
2401051,FT02,2200,2025-07-10,Unpaid,
2309031,FT02,2200,2025-07-10,Unpaid,
2312043,FT02,2200,2025-07-10,Unpaid,
2312035,FT02,2200,2025-07-10,Unpaid,
2306043,FT02,2200,2025-07-10,Unpaid,
2308035,FT02,2200,2025-07-10,Unpaid,
2206038,FT02,2200,2025-07-10,Unpaid,
2509050,FT02,2200,2025-07-10,Unpaid,
2508039,FT02,2200,2025-07-10,Unpaid,
2503041,FT02,2200,2025-07-10,Unpaid,
2211031,FT02,2200,2025-07-10,Unpaid,
2311024,FT02,2200,2025-07-10,Unpaid,
2212024,FT02,2200,2025-07-10,Unpaid,
2403057,FT02,2200,2025-07-10,Unpaid,
2408039,FT02,2200,2025-07-10,Unpaid,
2209052,FT02,2200,2025-07-10,Unpaid,
2509032,FT02,2200,2025-07-10,Unpaid,
2210053,FT02,2200,2025-07-10,Unpaid,
2202055,FT02,2200,2025-07-10,Unpaid,
2506052,FT02,2200,2025-07-10,Unpaid,
2510023,FT02,2200,2025-07-10,Unpaid,
