"department_id","student_id","course_id","semester","final_grade","grade_point"
12,2412040,"ARC117","L2T1","F",0
12,2412027,"ARC117","L2T1","F",0
12,2412028,"ARC117","L2T1","A+",4
12,2412037,"ARC117","L2T1","A+",4
12,2412055,"ARC117","L2T1","A+",4
12,2412046,"ARC117","L2T1","A+",4
12,2412049,"ARC117","L2T1","A",3.2
12,2412031,"ARC117","L2T1","A",3.24
12,2412058,"ARC117","L2T1","A",3.39
12,2412022,"ARC117","L2T1","A",3.3
12,2412052,"ARC117","L2T1","A",3.81
12,2412030,"ARC117","L2T1","A",3.5
12,2412032,"ARC117","L2T1","A",3.24
12,2412042,"ARC117","L2T1","A",3.76
12,2412035,"ARC117","L2T1","A",3.57
12,2412053,"ARC117","L2T1","A",3.51
12,2412026,"ARC117","L2T1","A",3.86
12,2412045,"ARC117","L2T1","A",3.69
12,2412047,"ARC117","L2T1","A",3.85
12,2412057,"ARC117","L2T1","A",3.69
12,2412038,"ARC117","L2T1","A",3.31
12,2412029,"ARC117","L2T1","A",3.77
12,2412054,"ARC117","L2T1","A",3.94
12,2412044,"ARC117","L2T1","A",3.68
12,2412034,"ARC117","L2T1","A",3.16
12,2412021,"ARC117","L2T1","A",3.68
12,2412025,"ARC117","L2T1","A",3.28
12,2412036,"ARC117","L2T1","A",3.51
12,2412060,"ARC117","L2T1","A",3.5
12,2412043,"ARC117","L2T1","A",3.64
12,2412051,"ARC117","L2T1","A",3.6
12,2412033,"ARC117","L2T1","A",3.58
12,2412041,"ARC117","L2T1","A",3.35
12,2412048,"ARC117","L2T1","A",3.05
12,2412024,"ARC117","L2T1","A",3.19
12,2412059,"ARC117","L2T1","A",3.04
12,2412056,"ARC117","L2T1","A",3.2
12,2412050,"ARC117","L2T1","A",3.06
12,2412039,"ARC117","L2T1","A",3.46
12,2412023,"ARC117","L2T1","A",3.82
12,2412040,"ARC118","L2T1","F",0
12,2412027,"ARC118","L2T1","F",0
12,2412028,"ARC118","L2T1","A+",4
12,2412037,"ARC118","L2T1","A+",4
12,2412055,"ARC118","L2T1","A+",4
12,2412046,"ARC118","L2T1","A+",4
12,2412049,"ARC118","L2T1","A",3.05
12,2412031,"ARC118","L2T1","A",3.17
12,2412058,"ARC118","L2T1","A",3.15
12,2412022,"ARC118","L2T1","A",3.55
12,2412052,"ARC118","L2T1","A",3.3
12,2412030,"ARC118","L2T1","A",3.12
12,2412032,"ARC118","L2T1","A",3.95
12,2412042,"ARC118","L2T1","A",3.68
12,2412035,"ARC118","L2T1","A",3.72
12,2412053,"ARC118","L2T1","A",3.02
12,2412026,"ARC118","L2T1","A",3.7
12,2412045,"ARC118","L2T1","A",3.22
