student_id,course_id,semester,enrolled_on,approved_by,section_type
2512048,ARC109,L1T2,2025-06-26,2010124182,A
2512048,ARC110,L1T2,2025-06-26,2010124182,A1
2512048,ARC111,L1T2,2025-06-26,2010124182,A
2512048,ARC112,L1T2,2025-06-26,2010124182,A1
2512048,ARC113,L1T2,2025-06-26,2010124182,A
2512048,ARC114,L1T2,2025-06-26,2010124182,A1
2512048,ARC115,L1T2,2025-06-26,2010124182,A
2512048,BME810,L1T2,2025-06-26,2010124182,A1
2512022,ARC109,L1T2,2025-06-26,2010124182,A
2512022,ARC110,L1T2,2025-06-26,2010124182,A1
2512022,ARC111,L1T2,2025-06-26,2010124182,A
2512022,ARC112,L1T2,2025-06-26,2010124182,A1
2512022,ARC113,L1T2,2025-06-26,2010124182,A
2512022,ARC114,L1T2,2025-06-26,2010124182,A1
2512022,ARC115,L1T2,2025-06-26,2010124182,A
2512022,BME810,L1T2,2025-06-26,2010124182,A1
2512028,ARC109,L1T2,2025-06-26,2010124182,A
2512028,ARC110,L1T2,2025-06-26,2010124182,A1
2512028,ARC111,L1T2,2025-06-26,2010124182,A
2512028,ARC112,L1T2,2025-06-26,2010124182,A1
2512028,ARC113,L1T2,2025-06-26,2010124182,A
2512028,ARC114,L1T2,2025-06-26,2010124182,A1
2512028,ARC115,L1T2,2025-06-26,2010124182,A
2512028,BME810,L1T2,2025-06-26,2010124182,A1
2512052,ARC109,L1T2,2025-06-26,2010124182,A
2512052,ARC110,L1T2,2025-06-26,2010124182,A1
2512052,ARC111,L1T2,2025-06-26,2010124182,A
2512052,ARC112,L1T2,2025-06-26,2010124182,A1
2512052,ARC113,L1T2,2025-06-26,2010124182,A
2512052,ARC114,L1T2,2025-06-26,2010124182,A1
2512052,ARC115,L1T2,2025-06-26,2010124182,A
2512052,BME810,L1T2,2025-06-26,2010124182,A1
2512032,ARC109,L1T2,2025-06-26,2010124182,A
2512032,ARC110,L1T2,2025-06-26,2010124182,A1
2512032,ARC111,L1T2,2025-06-26,2010124182,A
2512032,ARC112,L1T2,2025-06-26,2010124182,A1
2512032,ARC113,L1T2,2025-06-26,2010124182,A
2512032,ARC114,L1T2,2025-06-26,2010124182,A1
2512032,ARC115,L1T2,2025-06-26,2010124182,A
2512032,BME810,L1T2,2025-06-26,2010124182,A1
2512041,ARC109,L1T2,2025-06-26,2010124182,A
2512041,ARC110,L1T2,2025-06-26,2010124182,A1
