student_id,fee_type_id,amount,due_date,status,paid_on
2207036,FT05,150,2025-09-01,Unpaid,
2202058,FT05,150,2025-09-01,Unpaid,
2304027,FT05,150,2025-09-01,Unpaid,
2203032,FT05,150,2025-09-01,Unpaid,
2203056,FT05,150,2025-09-01,Unpaid,
2203054,FT05,150,2025-09-01,Unpaid,
2206026,FT05,150,2025-09-01,Unpaid,
2206038,FT05,150,2025-09-01,Unpaid,
2201035,FT05,150,2025-09-01,Unpaid,
2208040,FT05,150,2025-09-01,Unpaid,
2203041,FT05,150,2025-09-01,Unpaid,
2211032,FT05,150,2025-09-01,Unpaid,
2204051,FT05,150,2025-09-01,Unpaid,
2203028,FT05,150,2025-09-01,Unpaid,
2210037,FT05,150,2025-09-01,Unpaid,
2202049,FT05,150,2025-09-01,Unpaid,
2209057,FT05,150,2025-09-01,Unpaid,
2212021,FT05,150,2025-09-01,Unpaid,
2206027,FT05,150,2025-09-01,Unpaid,
2211053,FT05,150,2025-09-01,Unpaid,
2206040,FT05,150,2025-09-01,Unpaid,
2204029,FT05,150,2025-09-01,Unpaid,
2308033,FT05,150,2025-09-01,Unpaid,
2206031,FT05,150,2025-09-01,Unpaid,
2208029,FT05,150,2025-09-01,Unpaid,
2207021,FT05,150,2025-09-01,Unpaid,
2204059,FT05,150,2025-09-01,Unpaid,
2208049,FT05,150,2025-09-01,Unpaid,
2202060,FT05,150,2025-09-01,Unpaid,
2201038,FT05,150,2025-09-01,Unpaid,
2202050,FT05,150,2025-09-01,Unpaid,
2210041,FT05,150,2025-09-01,Unpaid,
2203031,FT05,150,2025-09-01,Unpaid,
2203029,FT05,150,2025-09-01,Unpaid,
2204034,FT05,150,2025-09-01,Unpaid,
2201039,FT05,150,2025-09-01,Unpaid,
2207055,FT05,150,2025-09-01,Unpaid,
2204030,FT05,150,2025-09-01,Unpaid,
2202043,FT05,150,2025-09-01,Unpaid,
2302042,FT05,150,2025-09-01,Unpaid,
2206036,FT05,150,2025-09-01,Unpaid,
2207026,FT05,150,2025-09-01,Unpaid,
2201026,FT05,150,2025-09-01,Unpaid,
2501032,FT05,150,2025-09-01,Unpaid,
2211043,FT05,150,2025-09-01,Unpaid,
2206029,FT05,150,2025-09-01,Unpaid,
2206041,FT05,150,2025-09-01,Unpaid,
2306030,FT05,150,2025-09-01,Unpaid,
2506024,FT05,150,2025-09-01,Unpaid,
2206043,FT05,150,2025-09-01,Unpaid,
2302028,FT05,150,2025-09-01,Unpaid,
2202053,FT05,150,2025-09-01,Unpaid,
2201031,FT05,150,2025-09-01,Unpaid,
