teacher_id,course_id,section_type,room_id,day_of_week,start_time,end_time,academic_session
2007016344,CSE101,A,ECE101,Saturday,08:00:00,09:00:00,2025-26
2007016344,CSE101,A,ECE102,Sunday,08:00:00,09:00:00,2025-26
2007016344,CSE101,A,ECE103,Monday,08:00:00,09:00:00,2025-26
2007016344,CSE101,A,ECE104,Tuesday,08:00:00,09:00:00,2025-26
2011018289,CSE102,A,ECE-LAB1,Wednesday,08:00:00,09:00:00,2025-26
2007016344,CSE103,A,ECE105,Saturday,09:00:00,10:00:00,2025-26
2007016344,CSE103,A,ECE105,Sunday,09:00:00,10:00:00,2025-26
2007016344,CSE103,A,ECE105,Monday,09:00:00,10:00:00,2025-26
2025011749,CSE104,A,ECE-LAB2,Tuesday,09:00:00,10:00:00,2025-26
2019019915,CSE105,A,ECE105,Wednesday,09:00:00,10:00:00,2025-26
2019019915,CSE105,A,ECE105,Saturday,10:00:00,11:00:00,2025-26
2019019915,CSE105,A,ECE105,Sunday,10:00:00,11:00:00,2025-26
2019019915,CSE105,A,ECE105,Monday,10:00:00,11:00:00,2025-26
2020012415,CSE106,A,DSA-LAB,Tuesday,10:00:00,11:00:00,2025-26
2015018630,CSE107,A,ECE105,Wednesday,10:00:00,11:00:00,2025-26
2015018630,CSE107,A,ECE105,Saturday,11:00:00,12:00:00,2025-26
2015018630,CSE107,A,ECE105,Sunday,11:00:00,12:00:00,2025-26
2015018630,CSE107,A,ECE105,Monday,11:00:00,12:00:00,2025-26
2014011203,CSE108,A,EM-LAB,Tuesday,11:00:00,12:00:00,2025-26
2015018630,CSE109,A,ECE105,Wednesday,11:00:00,12:00:00,2025-26
2015018630,CSE109,A,ECE105,Saturday,12:00:00,13:00:00,2025-26
2015018630,CSE109,A,ECE105,Sunday,12:00:00,13:00:00,2025-26
2015018630,CSE109,A,ECE105,Monday,12:00:00,13:00:00,2025-26
2016013794,CSE100,A,MECH-LAB1,Tuesday,12:00:00,13:00:00,2025-26
2001011524,CSE111,A,ECE105,Wednesday,12:00:00,13:00:00,2025-26
2001011524,CSE111,A,ECE105,Saturday,13:00:00,14:00:00,2025-26
2001011524,CSE111,A,ECE105,Sunday,13:00:00,14:00:00,2025-26
2014011203,CSE112,A,CIVIL-LAB1,Monday,13:00:00,14:00:00,2025-26
2014011203,CSE113,A,ECE105,Tuesday,13:00:00,14:00:00,2025-26
2014011203,CSE113,A,ECE105,Wednesday,13:00:00,14:00:00,2025-26
2014011203,CSE113,A,ECE105,Saturday,14:00:00,15:00:00,2025-26
2014011203,CSE113,A,ECE105,Sunday,14:00:00,15:00:00,2025-26
2017016134,CSE114,A,CHEM-LAB,Monday,14:00:00,15:00:00,2025-26
2016013794,CSE115,A,ECE105,Tuesday,14:00:00,15:00:00,2025-26
2016013794,CSE115,A,ECE105,Wednesday,14:00:00,15:00:00,2025-26
2016013794,CSE115,A,ECE105,Saturday,15:00:00,16:00:00,2025-26
2016013794,CSE115,A,ECE105,Sunday,15:00:00,16:00:00,2025-26
2008011238,CSE116,A,ARCHI-LAB,Monday,15:00:00,16:00:00,2025-26
2007016344,CSE117,A,ECE105,Tuesday,15:00:00,16:00:00,2025-26
