student_id,course_id,semester,enrolled_on,approved_by,section_type
2512035,ARC101,L1T1,2025-06-25,2013114162,A
2512035,ARC102,L1T1,2025-06-25,2013114162,A1
2512035,ARC103,L1T1,2025-06-25,2013114162,A
2512035,ARC104,L1T1,2025-06-25,2013114162,A1
2512035,ARC105,L1T1,2025-06-25,2013114162,A
2512035,ARC106,L1T1,2025-06-25,2013114162,A1
2512035,ARC107,L1T1,2025-06-25,2013114162,A
2512035,EEE792,L1T1,2025-06-25,2013114162,A1
2512038,ARC101,L1T1,2025-06-25,2009076054,A
2512038,ARC102,L1T1,2025-06-25,2009076054,A1
2512038,ARC103,L1T1,2025-06-25,2009076054,A
2512038,ARC104,L1T1,2025-06-25,2009076054,A1
2512038,ARC105,L1T1,2025-06-25,2009076054,A
2512038,ARC106,L1T1,2025-06-25,2009076054,A1
2512038,ARC107,L1T1,2025-06-25,2009076054,A
2512038,EEE792,L1T1,2025-06-25,2009076054,A1
2512039,ARC101,L1T1,2025-06-25,2005103480,A
2512039,ARC102,L1T1,2025-06-25,2005103480,A1
2512039,ARC103,L1T1,2025-06-25,2005103480,A
2512039,ARC104,L1T1,2025-06-25,2005103480,A1
2512039,ARC105,L1T1,2025-06-25,2005103480,A
2512039,ARC106,L1T1,2025-06-25,2005103480,A1
2512039,ARC107,L1T1,2025-06-25,2005103480,A
2512039,EEE792,L1T1,2025-06-25,2005103480,A1
2512060,ARC101,L1T1,2025-06-25,2023097362,A
2512060,ARC102,L1T1,2025-06-25,2023097362,A1
2512060,ARC103,L1T1,2025-06-25,2023097362,A
2512060,ARC104,L1T1,2025-06-25,2023097362,A1
2512060,ARC105,L1T1,2025-06-25,2023097362,A
2512060,ARC106,L1T1,2025-06-25,2023097362,A1
2512060,ARC107,L1T1,2025-06-25,2023097362,A
2512060,EEE792,L1T1,2025-06-25,2023097362,A1
2512066,ARC101,L1T1,2025-06-25,2020033297,A
2512066,ARC102,L1T1,2025-06-25,2020033297,A1
2512066,ARC103,L1T1,2025-06-25,2020033297,A
2512066,ARC104,L1T1,2025-06-25,2020033297,A1
2512066,ARC105,L1T1,2025-06-25,2020033297,A
2512066,ARC106,L1T1,2025-06-25,2020033297,A1
2512066,ARC107,L1T1,2025-06-25,2020033297,A
2512066,EEE792,L1T1,2025-06-25,2020033297,A1
2512090,ARC101,L1T1,2025-06-25,2013114162,A
2512090,ARC102,L1T1,2025-06-25,2013114162,A1
2512090,ARC103,L1T1,2025-06-25,2013114162,A
2512090,ARC104,L1T1,2025-06-25,2013114162,A1
2512090,ARC105,L1T1,2025-06-25,2013114162,A
2512090,ARC106,L1T1,2025-06-25,2013114162,A1
2512090,ARC107,L1T1,2025-06-25,2013114162,A
2512090,EEE792,L1T1,2025-06-25,2013114162,A1
2512093,ARC101,L1T1,2025-06-25,2007021629,A
2512093,ARC102,L1T1,2025-06-25,2007021629,A1
2512093,ARC103,L1T1,2025-06-25,2007021629,A
2512093,ARC104,L1T1,2025-06-25,2007021629,A1
2512093,ARC105,L1T1,2025-06-25,2007021629,A
2512093,ARC106,L1T1,2025-06-25,2007021629,A1
2512093,ARC107,L1T1,2025-06-25,2007021629,A
2512093,EEE792,L1T1,2025-06-25,2007021629,A1
2512104,ARC101,L1T1,2025-06-25,2024025822,A
2512104,ARC102,L1T1,2025-06-25,2024025822,A1
2512104,ARC103,L1T1,2025-06-25,2024025822,A
2512104,ARC104,L1T1,2025-06-25,2024025822,A1
2512104,ARC105,L1T1,2025-06-25,2024025822,A
2512104,ARC106,L1T1,2025-06-25,2024025822,A1
2512104,ARC107,L1T1,2025-06-25,2024025822,A
2512104,EEE792,L1T1,2025-06-25,2024025822,A1
2512105,ARC101,L1T1,2025-06-25,2008099274,A
